date,max_temperature,min_temperature,max_relative_humidity,avg_relative_humidity,avg_pressure_sea,max_wind_speed,precipitation,rain,snow,snow_on_ground,daylight,avg_cloud_cover_8
2019-12-31,2.3,-1.5,94,84.5,100.01,30,2.0,0.0,2.0,1.0,8.98,5.0
2019-12-30,10.2,1.0,97,76.0,100.2,48,8.0,8.0,0.0,0.0,8.97,6.0
2019-12-29,2.0,0.1,97,87.5,101.64,38,7.8,7.8,0.0,0.0,8.95,4.5
2019-12-28,4.8,1.1,81,71.0,102.49,22,0.2,0.2,0.0,0.0,8.93,6.5
2019-12-27,11.1,2.6,95,86.0,101.95,34,0.0,0.0,0.0,0.0,8.95,7.5
2019-12-26,3.7,1.0,98,90.5,102.02,28,0.0,0.0,0.0,0.0,8.93,8.0
2019-12-25,2.8,-1.6,97,92.0,101.8,23,0.0,0.0,0.0,0.0,8.92,5.5
2019-12-24,1.1,-3.9,86,80.5,102.25,32,0.0,0.0,0.0,0.0,8.93,4.0
2019-12-23,9.2,-0.3,79,68.5,101.72,31,0.0,0.0,0.0,0.0,8.92,4.0
2019-12-22,7.2,-1.1,86,75.5,102.16,27,0.0,0.0,0.0,1.0,8.93,3.5
2019-12-21,1.9,-7.8,91,84.0,103.03,22,0.0,0.0,0.0,3.0,8.92,4.0
2019-12-20,-3.9,-10.8,90,75.0,103.63,22,0.0,0.0,0.0,4.0,8.93,4.5
2019-12-19,-6.0,-16.7,89,80.5,102.94,24,1.6,0.0,5.0,0.0,8.92,4.0
2019-12-18,-2.8,-15.4,89,73.5,101.73,37,0.8,0.0,0.8,0.0,8.93,4.0
2019-12-17,1.8,-4.2,82,69.0,101.41,23,0.0,0.0,0.0,0.0,8.93,6.0
2019-12-16,1.4,-6.0,81,68.5,102.15,20,0.0,0.0,0.0,0.0,8.93,5.5
2019-12-15,1.6,-6.7,81,66.5,101.08,43,0.0,0.0,0.0,0.0,8.95,5.0
2019-12-14,2.7,0.4,97,87.0,100.26,32,20.2,18.0,2.6,1.0,8.97,6.0
2019-12-13,5.7,-1.1,75,65.5,101.76,24,0.0,0.0,0.0,0.0,8.97,4.5
2019-12-12,-0.2,-9.7,75,67.5,103.11,24,0.0,0.0,0.0,0.0,8.98,4.0
2019-12-11,-2.6,-8.7,79,63.5,102.74,35,0.0,0.0,0.0,0.0,9.0,4.0
2019-12-10,10.1,-7.1,85,71.0,100.94,36,0.6,0.6,0.0,0.0,9.02,4.0
2019-12-09,10.2,4.9,99,89.0,100.48,29,6.0,6.0,0.0,2.0,9.03,6.0
2019-12-08,6.6,-3.2,87,72.5,102.07,32,0.0,0.0,0.0,6.0,9.05,4.5
2019-12-07,-1.1,-7.5,80,70.5,102.83,22,0.0,0.0,0.0,6.0,9.07,4.0
2019-12-06,0.2,-5.9,96,79.0,101.9,23,5.4,0.0,5.4,5.0,9.08,4.5
2019-12-05,0.8,-2.5,86,73.0,101.02,45,0.4,0.0,0.4,4.0,9.1,5.0
2019-12-04,2.8,-0.3,92,82.0,99.82,25,0.0,0.0,0.0,9.0,9.12,7.5
2019-12-03,1.1,-9.6,94,81.0,100.61,21,0.6,0.0,0.6,12.0,9.15,4.0
2019-12-02,-0.8,-7.2,94,79.5,100.82,33,6.2,0.0,9.4,11.0,9.17,4.0
2019-12-01,-0.7,-4.2,94,85.0,100.73,52,11.4,2.0,3.0,1.0,9.18,6.5
2019-11-30,-1.2,-4.2,89,77.0,101.97,35,0.0,0.0,0.0,0.0,9.22,6.0
2019-11-29,-0.6,-3.6,83,77.0,102.78,21,0.0,0.0,0.0,0.0,9.23,7.5
2019-11-28,6.0,-3.0,84,74.0,101.86,50,0.0,0.0,0.0,0.0,9.27,5.0
2019-11-27,10.0,4.2,96,82.0,100.39,36,6.4,6.4,0.0,0.0,9.3,7.5
2019-11-26,10.9,1.9,96,75.5,101.08,21,0.0,0.0,0.0,0.0,9.33,4.0
2019-11-25,8.1,1.4,95,86.0,100.52,21,0.0,0.0,0.0,0.0,9.35,5.0
2019-11-24,6.6,-3.2,94,76.5,100.1,17,0.0,0.0,0.0,0.0,9.38,4.0
2019-11-23,6.1,-2.6,87,70.5,100.96,27,0.0,0.0,0.0,0.0,9.42,4.0
2019-11-22,10.4,-2.6,88,67.5,101.07,45,0.0,0.0,0.0,0.0,9.45,4.0
2019-11-21,10.6,-1.0,97,87.0,101.31,35,4.2,4.2,0.0,0.0,9.48,4.0
2019-11-20,8.6,-1.3,95,77.5,101.92,17,0.0,0.0,0.0,0.0,9.52,4.0
