event_unique_id,crime,occ_year,occ_month,occ_day,occ_dow,occ_hour,premises_type,hood_140,neighbourhood_140,long_wgs84,lat_wgs84,date
GO-20152000,auto_theft,2015,January,1,Thursday,6,Outside,79,University (79),-79.4038670838949,43.6666511109017,2015-01-01
GO-20153611,auto_theft,2015,January,1,Thursday,2,Outside,132,Malvern (132),-79.2341933540528,43.8080416725367,2015-01-01
GO-201510161,auto_theft,2015,January,2,Friday,19,Outside,93,Dovercourt-Wallace Emerson-Junction (93),-79.4435609578449,43.6673219187757,2015-01-02
GO-20156209,auto_theft,2015,January,1,Thursday,16,House,110,Keelesdale-Eglinton West (110),-79.4696551714248,43.6894011281267,2015-01-01
GO-201514338,auto_theft,2015,January,2,Friday,18,Outside,16,Stonegate-Queensway (16),-79.5123840538956,43.6259282606353,2015-01-02
GO-201514318,auto_theft,2015,January,3,Saturday,0,Outside,139,Scarborough Village (139),-79.2123814987007,43.7445979255769,2015-01-03
GO-201513365,auto_theft,2015,January,2,Friday,16,Outside,5,Elms-Old Rexdale (5),-79.5550532264681,43.7187917956908,2015-01-02
GO-201512337,auto_theft,2015,January,2,Friday,23,House,7,Willowridge-Martingrove-Richview (7),-79.5502101339937,43.681210922074,2015-01-02
GO-201514318,auto_theft,2015,January,3,Saturday,0,Outside,139,Scarborough Village (139),-79.2123814987007,43.7445979255769,2015-01-03
GO-201513051,auto_theft,2015,January,2,Friday,18,Outside,137,Woburn (137),-79.230678232043,43.773493146563,2015-01-02
GO-201511596,auto_theft,2015,January,3,Saturday,1,Outside,131,Rouge (131),-79.170738084081,43.8048468965182,2015-01-03
GO-201511187,auto_theft,2015,January,3,Saturday,1,Outside,117,L'Amoreaux (117),-79.316028546493,43.7938688840103,2015-01-03
GO-201513202,auto_theft,2015,January,2,Friday,17,Outside,82,Niagara (82),-79.4139518997938,43.6386650097021,2015-01-02
GO-201511768,auto_theft,2015,January,3,Saturday,1,Outside,75,Church-Yonge Corridor (75),-79.386156625859,43.668736095661,2015-01-03
GO-201512314,auto_theft,2015,January,2,Friday,16,Outside,76,Bay Street Corridor (76),-79.3850178557778,43.6447694076816,2015-01-02
GO-201511206,auto_theft,2015,January,3,Saturday,0,Outside,9,Edenbridge-Humber Valley (9),-79.522097786492,43.665867901284,2015-01-03
GO-201517738,auto_theft,2015,January,4,Sunday,6,Outside,23,Pelmo Park-Humberlea (23),-79.5336875733845,43.7135982059922,2015-01-04
GO-201517153,auto_theft,2015,January,3,Saturday,15,Outside,24,Black Creek (24),-79.5242684901771,43.7733109667018,2015-01-03
GO-201520878,auto_theft,2015,January,2,Friday,20,Apartment,82,Niagara (82),-79.4028511482956,43.6378465008259,2015-01-02
GO-201517335,auto_theft,2015,January,3,Saturday,21,House,31,Yorkdale-Glen Park (31),-79.4546995008508,43.7087864111473,2015-01-03
GO-201519348,auto_theft,2015,January,4,Sunday,15,Outside,47,Don Valley Village (47),-79.3437191362443,43.7758285046409,2015-01-04
GO-201517596,auto_theft,2015,January,3,Saturday,19,Outside,94,Wychwood (94),-79.4189091393469,43.6821824992603,2015-01-03
GO-201520174,auto_theft,2015,January,4,Sunday,10,Outside,55,Thorncliffe Park (55),-79.3546868206381,43.7143058283163,2015-01-04
GO-201518285,auto_theft,2015,January,2,Friday,16,Outside,75,Church-Yonge Corridor (75),-79.3837852125892,43.663015093294,2015-01-02
GO-201526817,auto_theft,2015,January,5,Monday,19,Outside,85,South Parkdale (85),-79.4369278403197,43.6395966039914,2015-01-05
GO-201524680,auto_theft,2015,January,5,Monday,6,Outside,93,Dovercourt-Wallace Emerson-Junction (93),-79.4252890604234,43.6625085462762,2015-01-05
GO-201524816,auto_theft,2015,January,5,Monday,7,Outside,63,The Beaches (63),-79.2999126617073,43.6785067590356,2015-01-05
GO-201522515,auto_theft,2015,January,4,Sunday,23,Outside,111,Rockcliffe-Smythe (111),-79.489406097876,43.6702911293051,2015-01-04
GO-201522744,auto_theft,2015,January,4,Sunday,23,Outside,137,Woburn (137),-79.222999153108,43.7580197756086,2015-01-04
GO-201521388,auto_theft,2015,January,5,Monday,0,House,137,Woburn (137),-79.2190303584304,43.7636503833692,2015-01-05
GO-201530084,auto_theft,2015,January,5,Monday,5,Outside,1,West Humber-Clairville (1),-79.5994154941656,43.686552016748,2015-01-05
GO-201530655,auto_theft,2015,January,6,Tuesday,6,Outside,1,West Humber-Clairville (1),-79.5843643403058,43.6773761023449,2015-01-06
GO-201532886,auto_theft,2015,January,6,Tuesday,18,Outside,119,Wexford/Maryvale (119),-79.2876126812768,43.7278408506567,2015-01-06
GO-201531554,auto_theft,2015,January,6,Tuesday,16,Outside,27,York University Heights (27),-79.490078315396,43.7598222750365,2015-01-06
GO-201534516,auto_theft,2015,January,6,Tuesday,18,House,128,Agincourt South-Malvern West (128),-79.2881913613791,43.7944780665708,2015-01-06
GO-201535069,auto_theft,2015,January,5,Monday,9,Apartment,115,Mount Dennis (115),-79.4926076223701,43.6890510160015,2015-01-05
