CRIME,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_HOUR,PREMISES_TYPE,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,OCC_DATETIME
bicycle_theft,2015,January,1,Thursday,22,Outside,77,Waterfront Communities-The Island (77),-79.3907926370796,43.6491251822183,2015-01-01 22:00:00
bicycle_theft,2015,January,2,Friday,9,House,107,Oakwood Village (107),-79.4453552988955,43.692537813283,2015-01-02 09:00:00
bicycle_theft,2015,January,4,Sunday,18,Educational,75,Church-Yonge Corridor (75),-79.3807635674754,43.6575446405909,2015-01-04 18:00:00
bicycle_theft,2015,January,5,Monday,20,Outside,78,Kensington-Chinatown (78),-79.3894857458879,43.6575233770889,2015-01-05 20:00:00
bicycle_theft,2015,January,6,Tuesday,15,House,107,Oakwood Village (107),-79.4367462655992,43.6904146117962,2015-01-06 15:00:00
bicycle_theft,2015,January,6,Tuesday,18,Apartment,82,Niagara (82),-79.4159136127034,43.6390159574205,2015-01-06 18:00:00
bicycle_theft,2015,January,1,Thursday,21,Outside,77,Waterfront Communities-The Island (77),-79.3586056762864,43.6514476658865,2015-01-01 21:00:00
bicycle_theft,2015,January,8,Thursday,11,Commercial,76,Bay Street Corridor (76),-79.3882379098635,43.6611338579568,2015-01-08 11:00:00
bicycle_theft,2015,January,8,Thursday,1,Commercial,82,Niagara (82),-79.4059127731345,43.6436568726635,2015-01-08 01:00:00
bicycle_theft,2015,January,9,Friday,16,Outside,62,East End-Danforth (62),-79.2978972838241,43.6890343918734,2015-01-09 16:00:00
bicycle_theft,2015,January,1,Thursday,0,House,93,Dovercourt-Wallace Emerson-Junction (93),-79.426537639022,43.6640789840922,2015-01-01 00:00:00
bicycle_theft,2015,January,9,Friday,12,Outside,78,Kensington-Chinatown (78),-79.3998426000077,43.6557231818903,2015-01-09 12:00:00
bicycle_theft,2015,January,11,Sunday,17,House,93,Dovercourt-Wallace Emerson-Junction (93),-79.437210105351,43.6725845205635,2015-01-11 17:00:00
bicycle_theft,2015,January,10,Saturday,23,Apartment,86,Roncesvalles (86),-79.4359351631563,43.6421651189261,2015-01-10 23:00:00
bicycle_theft,2015,January,9,Friday,21,Commercial,74,North St.James Town (74),-79.3751737833055,43.6682484949946,2015-01-09 21:00:00
bicycle_theft,2015,January,11,Sunday,13,Apartment,75,Church-Yonge Corridor (75),-79.3772395989074,43.6606462247117,2015-01-11 13:00:00
bicycle_theft,2015,January,13,Tuesday,13,Commercial,74,North St.James Town (74),-79.3758492709374,43.66648008921,2015-01-13 13:00:00
bicycle_theft,2015,January,13,Tuesday,8,House,65,Greenwood-Coxwell (65),-79.32900207126,43.6629289919058,2015-01-13 08:00:00
