CRIME,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_HOUR,PREMISES_TYPE,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,OCC_TIMESTAMP
break_and_enter,2015,January,1,Thursday,20,Commercial,113,Weston (113),-79.5036381802578,43.702272855618,2015-01-01 20:00:00-0500
break_and_enter,2015,January,1,Thursday,21,House,126,Dorset Park (126),-79.290886591646,43.7659472073193,2015-01-01 21:00:00-0500
break_and_enter,2015,January,1,Thursday,21,Commercial,81,Trinity-Bellwoods (81),-79.4066856233598,43.647060909068,2015-01-01 21:00:00-0500
break_and_enter,2015,January,1,Thursday,1,Apartment,88,High Park North (88),-79.4582266613674,43.6626554650964,2015-01-01 01:00:00-0500
break_and_enter,2015,January,1,Thursday,9,Apartment,13,Etobicoke West Mall (13),-79.5697199255425,43.6515859696663,2015-01-01 09:00:00-0500
break_and_enter,2015,January,1,Thursday,15,Apartment,25,Glenfield-Jane Heights (25),-79.5180849668772,43.7505489096654,2015-01-01 15:00:00-0500
break_and_enter,2015,January,1,Thursday,12,House,136,West Hill (136),-79.1785941061688,43.7660028968978,2015-01-01 12:00:00-0500
break_and_enter,2015,January,1,Thursday,1,House,18,New Toronto (18),-79.5171033722668,43.5985546080689,2015-01-01 01:00:00-0500
break_and_enter,2015,January,1,Thursday,6,Other,95,Annex (95),-79.4122710956823,43.6661744447573,2015-01-01 06:00:00-0500
break_and_enter,2015,January,1,Thursday,9,Commercial,75,Church-Yonge Corridor (75),-79.3759120918173,43.6509674572356,2015-01-01 09:00:00-0500
break_and_enter,2015,January,1,Thursday,19,Commercial,108,Briar Hill-Belgravia (108),-79.451411511842,43.6966321862571,2015-01-01 19:00:00-0500
break_and_enter,2015,January,1,Thursday,15,Commercial,116,Steeles (116),-79.3341716599591,43.811754562061,2015-01-01 15:00:00-0500
break_and_enter,2015,January,2,Friday,9,Apartment,95,Annex (95),-79.4117848023346,43.6666143715903,2015-01-02 09:00:00-0500
break_and_enter,2015,January,2,Friday,21,House,129,Agincourt North (129),-79.2703293938558,43.8142026344458,2015-01-02 21:00:00-0500
break_and_enter,2015,January,1,Thursday,12,Apartment,76,Bay Street Corridor (76),-79.3822837231761,43.6573234235018,2015-01-01 12:00:00-0500
break_and_enter,2015,January,1,Thursday,19,Commercial,128,Agincourt South-Malvern West (128),-79.2702584898242,43.7865437228932,2015-01-01 19:00:00-0500
break_and_enter,2015,January,1,Thursday,18,Commercial,80,Palmerston-Little Italy (80),-79.4114045743626,43.6557082097602,2015-01-01 18:00:00-0500
break_and_enter,2015,January,1,Thursday,20,Commercial,31,Yorkdale-Glen Park (31),-79.4465170446884,43.7156093892898,2015-01-01 20:00:00-0500
break_and_enter,2015,January,2,Friday,3,House,39,Bedford Park-Nortown (39),-79.4270077207531,43.7214472551703,2015-01-02 03:00:00-0500
break_and_enter,2015,January,2,Friday,1,Commercial,1,West Humber-Clairville (1),-79.5835043266128,43.691920037839,2015-01-02 01:00:00-0500
break_and_enter,2015,January,2,Friday,1,House,41,Bridle Path-Sunnybrook-York Mills (41),-79.3626593142917,43.732053138423,2015-01-02 01:00:00-0500
break_and_enter,2015,January,2,Friday,19,Apartment,39,Bedford Park-Nortown (39),-79.4211332716656,43.7313808429002,2015-01-02 19:00:00-0500
break_and_enter,2015,January,2,Friday,21,Apartment,81,Trinity-Bellwoods (81),-79.4087698704922,43.6557629887936,2015-01-02 21:00:00-0500
break_and_enter,2015,January,1,Thursday,16,House,122,Birchcliffe-Cliffside (122),-79.251946442548,43.7111552875691,2015-01-01 16:00:00-0500
break_and_enter,2015,January,2,Friday,16,House,50,Newtonbrook East (50),-79.4067229370699,43.7974632678795,2015-01-02 16:00:00-0500
break_and_enter,2015,January,2,Friday,16,House,64,Woodbine Corridor (64),-79.3170152960162,43.6843390285639,2015-01-02 16:00:00-0500
break_and_enter,2015,January,2,Friday,14,House,64,Woodbine Corridor (64),-79.3130056428325,43.6828580846016,2015-01-02 14:00:00-0500
break_and_enter,2015,January,3,Saturday,5,Commercial,77,Waterfront Communities-The Island (77),-79.3853921431703,43.6388315091224,2015-01-03 05:00:00-0500
break_and_enter,2015,January,3,Saturday,23,Apartment,87,High Park-Swansea (87),-79.4584627046892,43.6510251433901,2015-01-03 23:00:00-0500
break_and_enter,2015,January,2,Friday,16,Apartment,137,Woburn (137),-79.2307976547008,43.7802621959812,2015-01-02 16:00:00-0500
break_and_enter,2015,January,2,Friday,20,Commercial,4,Rexdale-Kipling (4),-79.5551124370207,43.7150962086543,2015-01-02 20:00:00-0500
break_and_enter,2015,January,2,Friday,12,House,60,Woodbine-Lumsden (60),-79.3073379408011,43.6923306673203,2015-01-02 12:00:00-0500
break_and_enter,2015,January,3,Saturday,7,Other,73,Moss Park (73),-79.3661908786812,43.6598750746328,2015-01-03 07:00:00-0500
break_and_enter,2015,January,4,Sunday,12,Apartment,77,Waterfront Communities-The Island (77),-79.3586056762864,43.6514476658865,2015-01-04 12:00:00-0500
break_and_enter,2015,January,4,Sunday,15,Apartment,76,Bay Street Corridor (76),-79.3898232751399,43.6680241449622,2015-01-04 15:00:00-0500
break_and_enter,2015,January,4,Sunday,15,House,107,Oakwood Village (107),-79.4373450481006,43.6837122565067,2015-01-04 15:00:00-0500
break_and_enter,2015,January,4,Sunday,7,Commercial,61,Taylor-Massey (61),-79.2969269337484,43.7022507513333,2015-01-04 07:00:00-0500
break_and_enter,2015,January,2,Friday,0,Apartment,16,Stonegate-Queensway (16),-79.5139179420784,43.624265125859,2015-01-02 00:00:00-0500
break_and_enter,2015,January,4,Sunday,2,Commercial,76,Bay Street Corridor (76),-79.3860954596713,43.6615575348531,2015-01-04 02:00:00-0500
break_and_enter,2015,January,4,Sunday,5,Commercial,63,The Beaches (63),-79.2927735595867,43.6716515841367,2015-01-04 05:00:00-0500
break_and_enter,2015,January,4,Sunday,4,House,52,Bayview Village (52),-79.3756580384743,43.7661147542604,2015-01-04 04:00:00-0500
break_and_enter,2015,January,4,Sunday,6,Apartment,73,Moss Park (73),-79.3713529792566,43.6590671613253,2015-01-04 06:00:00-0500
break_and_enter,2015,January,5,Monday,4,Other,111,Rockcliffe-Smythe (111),-79.4832802600063,43.6724158589653,2015-01-05 04:00:00-0500
break_and_enter,2015,January,5,Monday,9,House,104,Mount Pleasant West (104),-79.3969378826118,43.702588705131,2015-01-05 09:00:00-0500
break_and_enter,2015,January,5,Monday,12,Commercial,14,Islington-City Centre West (14),-79.5220356082923,43.6459195783928,2015-01-05 12:00:00-0500
break_and_enter,2015,January,5,Monday,8,Commercial,26,Downsview-Roding-CFB (26),-79.5100682515695,43.7177090288019,2015-01-05 08:00:00-0500
break_and_enter,2015,January,5,Monday,4,Apartment,75,Church-Yonge Corridor (75),-79.3749430758467,43.6511794364646,2015-01-05 04:00:00-0500
break_and_enter,2015,January,5,Monday,3,Apartment,119,Wexford/Maryvale (119),-79.2933947898242,43.7703444816386,2015-01-05 03:00:00-0500
break_and_enter,2015,January,3,Saturday,1,Apartment,75,Church-Yonge Corridor (75),-79.3798206470348,43.6668456650194,2015-01-03 01:00:00-0500
break_and_enter,2015,January,4,Sunday,22,Commercial,26,Downsview-Roding-CFB (26),-79.5191454260035,43.7185932046842,2015-01-04 22:00:00-0500
break_and_enter,2015,January,4,Sunday,12,House,32,Englemount-Lawrence (32),-79.4377771769445,43.7158965005671,2015-01-04 12:00:00-0500
break_and_enter,2015,January,5,Monday,5,Commercial,85,South Parkdale (85),-79.4341735837092,43.6410856524859,2015-01-05 05:00:00-0500
break_and_enter,2015,January,5,Monday,6,Commercial,105,Lawrence Park North (105),-79.4043924867215,43.733658678743,2015-01-05 06:00:00-0500
break_and_enter,2015,January,5,Monday,6,Commercial,26,Downsview-Roding-CFB (26),-79.5100682515695,43.7177090288019,2015-01-05 06:00:00-0500
break_and_enter,2015,January,5,Monday,9,Apartment,75,Church-Yonge Corridor (75),-79.382401296975,43.6613682396022,2015-01-05 09:00:00-0500
break_and_enter,2015,January,5,Monday,0,Commercial,17,Mimico (includes Humber Bay Shores) (17),-79.499583901186,43.6190571441966,2015-01-05 00:00:00-0500
break_and_enter,2015,January,5,Monday,9,House,3,Thistletown-Beaumond Heights (3),-79.5783520342009,43.7376407669603,2015-01-05 09:00:00-0500
break_and_enter,2015,January,5,Monday,5,Commercial,90,Junction Area (90),-79.4829392021732,43.6702083485181,2015-01-05 05:00:00-0500
break_and_enter,2015,January,5,Monday,1,Commercial,84,Little Portugal (84),-79.4325122717452,43.6500844936016,2015-01-05 01:00:00-0500
break_and_enter,2015,January,5,Monday,11,House,14,Islington-City Centre West (14),-79.5361265095257,43.6506128675057,2015-01-05 11:00:00-0500
break_and_enter,2015,January,5,Monday,11,House,40,St.Andrew-Windfields (40),-79.3708382834959,43.757735658055,2015-01-05 11:00:00-0500
break_and_enter,2015,January,5,Monday,17,Commercial,121,Oakridge (121),-79.2807507926972,43.6929022246301,2015-01-05 17:00:00-0500
break_and_enter,2015,January,5,Monday,11,House,34,Bathurst Manor (34),-79.4503527065342,43.7590878424664,2015-01-05 11:00:00-0500
break_and_enter,2015,January,5,Monday,8,Apartment,120,Clairlea-Birchmount (120),-79.2769909486478,43.7023905891261,2015-01-05 08:00:00-0500
break_and_enter,2015,January,5,Monday,18,House,73,Moss Park (73),-79.3686975851061,43.662467661024,2015-01-05 18:00:00-0500
break_and_enter,2015,January,6,Tuesday,2,Commercial,4,Rexdale-Kipling (4),-79.5568615563729,43.7140016115874,2015-01-06 02:00:00-0500
break_and_enter,2015,January,6,Tuesday,2,Apartment,72,Regent Park (72),-79.3647697563659,43.6604417119691,2015-01-06 02:00:00-0500
break_and_enter,2015,January,5,Monday,16,Commercial,110,Keelesdale-Eglinton West (110),-79.4837225304497,43.6881688068803,2015-01-05 16:00:00-0500
break_and_enter,2015,January,6,Tuesday,19,House,137,Woburn (137),-79.2412522580886,43.764651276562,2015-01-06 19:00:00-0500
break_and_enter,2015,January,6,Tuesday,8,House,107,Oakwood Village (107),-79.4315192123694,43.6826301692631,2015-01-06 08:00:00-0500
break_and_enter,2015,January,6,Tuesday,13,Apartment,138,Eglinton East (138),-79.2392943281095,43.7405839694138,2015-01-06 13:00:00-0500
break_and_enter,2015,January,6,Tuesday,16,House,118,Tam O'Shanter-Sullivan (118),-79.3169862630085,43.7786160013875,2015-01-06 16:00:00-0500
break_and_enter,2015,January,6,Tuesday,11,Apartment,127,Bendale (127),-79.2433570143952,43.7546971380202,2015-01-06 11:00:00-0500
break_and_enter,2015,January,6,Tuesday,13,Other,77,Waterfront Communities-The Island (77),-79.3960093756818,43.6462371224925,2015-01-06 13:00:00-0500
break_and_enter,2015,January,6,Tuesday,11,Apartment,127,Bendale (127),-79.2433570143952,43.7546971380202,2015-01-06 11:00:00-0500
break_and_enter,2015,January,6,Tuesday,14,Apartment,35,Westminster-Branson (35),-79.454114022957,43.7774669879978,2015-01-06 14:00:00-0500
break_and_enter,2015,January,5,Monday,22,Apartment,136,West Hill (136),-79.1880739975143,43.7672636737577,2015-01-05 22:00:00-0500
