CRIME,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_HOUR,PREMISES_TYPE,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,OCC_TIMESTAMP
homicide,2015,January,10,Saturday,0,N/A,75,Church-Yonge Corridor (75),-79.37671331,43.66241268,2015-01-10 00:00:00-0500
homicide,2015,January,16,Friday,0,N/A,1,West Humber-Clairville (1),-79.59622148,43.74143135,2015-01-16 00:00:00-0500
homicide,2015,January,17,Saturday,0,N/A,50,Newtonbrook East (50),-79.4126711,43.78133031,2015-01-17 00:00:00-0500
homicide,2015,January,27,Tuesday,0,N/A,31,Yorkdale-Glen Park (31),-79.44926911,43.7205075,2015-01-27 00:00:00-0500
homicide,2015,January,31,Saturday,0,N/A,78,Kensington-Chinatown (78),-79.40545063,43.65088291,2015-01-31 00:00:00-0500
homicide,2015,February,4,Wednesday,0,N/A,120,Clairlea-Birchmount (120),-79.26220606,43.71254894,2015-02-04 00:00:00-0500
homicide,2015,February,28,Saturday,0,N/A,64,Woodbine Corridor (64),-79.32088796,43.68393823,2015-02-28 00:00:00-0500
homicide,2015,February,28,Saturday,0,N/A,64,Woodbine Corridor (64),-79.32088796,43.68393823,2015-02-28 00:00:00-0500
homicide,2015,March,17,Tuesday,0,N/A,6,Kingsview Village-The Westway (6),-79.54867241,43.7013181,2015-03-17 00:00:00-0500
homicide,2015,March,18,Wednesday,0,N/A,17,Mimico (includes Humber Bay Shores) (17),-79.48326397,43.6205055,2015-03-18 00:00:00-0500
homicide,2015,March,21,Saturday,0,N/A,7,Willowridge-Martingrove-Richview (7),-79.57040564,43.67633225,2015-03-21 00:00:00-0500
homicide,2015,March,30,Monday,0,N/A,2,Mount Olive-Silverstone-Jamestown (2),-79.58380099,43.73447858,2015-03-30 00:00:00-0500
homicide,2015,April,9,Thursday,0,N/A,61,Taylor-Massey (61),-79.30335812,43.69515077,2015-04-09 00:00:00-0500
homicide,2015,April,14,Tuesday,0,N/A,92,Corso Italia-Davenport (92),-79.43957083,43.67825217,2015-04-14 00:00:00-0500
homicide,2015,April,23,Thursday,0,N/A,122,Birchcliffe-Cliffside (122),-79.2637076,43.6920648,2015-04-23 00:00:00-0500
homicide,2015,May,8,Friday,0,N/A,136,West Hill (136),-79.18255246,43.76301925,2015-05-08 00:00:00-0500
homicide,2015,May,17,Sunday,0,N/A,93,Dovercourt-Wallace Emerson-Junction (93),-79.45315724,43.66577996,2015-05-17 00:00:00-0500
homicide,2015,May,19,Tuesday,0,N/A,66,Danforth (66),-79.32476486,43.68311087,2015-05-19 00:00:00-0500
homicide,2015,May,20,Wednesday,0,N/A,93,Dovercourt-Wallace Emerson-Junction (93),-79.44774438,43.65977334,2015-05-20 00:00:00-0500
homicide,2015,May,25,Monday,0,N/A,137,Woburn (137),-79.2352639,43.75771567,2015-05-25 00:00:00-0500
homicide,2015,May,30,Saturday,0,N/A,60,Woodbine-Lumsden (60),-79.31240543,43.68947229,2015-05-30 00:00:00-0500
homicide,2015,June,1,Monday,0,N/A,137,Woburn (137),-79.2352639,43.75771567,2015-06-01 00:00:00-0500
homicide,2015,June,3,Wednesday,0,N/A,75,Church-Yonge Corridor (75),-79.37775539,43.6519573,2015-06-03 00:00:00-0500
homicide,2015,June,12,Friday,0,N/A,111,Rockcliffe-Smythe (111),-79.49415781,43.67258053,2015-06-12 00:00:00-0500
homicide,2015,June,28,Sunday,0,N/A,84,Little Portugal (84),-79.42285012,43.64123192,2015-06-28 00:00:00-0500
homicide,2015,June,28,Sunday,0,N/A,84,Little Portugal (84),-79.42285012,43.64123192,2015-06-28 00:00:00-0500
homicide,2015,July,9,Thursday,0,N/A,2,Mount Olive-Silverstone-Jamestown (2),-79.58380099,43.73447858,2015-07-09 00:00:00-0500
homicide,2015,July,10,Friday,0,N/A,93,Dovercourt-Wallace Emerson-Junction (93),-79.44851171,43.66858493,2015-07-10 00:00:00-0500
homicide,2015,July,12,Sunday,0,N/A,123,Cliffcrest (123),-79.22679067,43.73001674,2015-07-12 00:00:00-0500
homicide,2015,August,3,Monday,0,N/A,74,North St.James Town (74),-79.37206804,43.67070052,2015-08-03 00:00:00-0500
homicide,2015,August,4,Tuesday,0,N/A,82,Niagara (82),-79.42262288,43.6327429,2015-08-04 00:00:00-0500
homicide,2015,August,4,Tuesday,0,N/A,82,Niagara (82),-79.42262288,43.6327429,2015-08-04 00:00:00-0500
homicide,2015,August,7,Friday,0,N/A,91,Weston-Pellam Park (91),-79.46369835,43.67587414,2015-08-07 00:00:00-0500
homicide,2015,August,9,Sunday,0,N/A,76,Bay Street Corridor (76),-79.38163118,43.65442112,2015-08-09 00:00:00-0500
homicide,2015,August,19,Wednesday,0,N/A,73,Moss Park (73),-79.37021334,43.65848384,2015-08-19 00:00:00-0500
homicide,2015,August,19,Wednesday,0,N/A,28,Rustic (28),-79.50411114,43.71413062,2015-08-19 00:00:00-0500
homicide,2015,September,6,Sunday,0,N/A,111,Rockcliffe-Smythe (111),-79.50085045,43.67797235,2015-09-06 00:00:00-0500
homicide,2015,September,12,Saturday,0,N/A,136,West Hill (136),-79.19643141,43.76614407,2015-09-12 00:00:00-0500
homicide,2015,September,22,Tuesday,0,N/A,135,Morningside (135),-79.21206073,43.78954218,2015-09-22 00:00:00-0500
homicide,2015,October,1,Thursday,0,N/A,134,Highland Creek (134),-79.15459325,43.79357368,2015-10-01 00:00:00-0500
homicide,2015,October,15,Thursday,0,N/A,137,Woburn (137),-79.22225749,43.7510204,2015-10-15 00:00:00-0500
homicide,2015,October,17,Saturday,0,N/A,1,West Humber-Clairville (1),-79.59556249,43.68675119,2015-10-17 00:00:00-0500
homicide,2015,October,31,Saturday,0,N/A,75,Church-Yonge Corridor (75),-79.38410773,43.66846411,2015-10-31 00:00:00-0500
homicide,2015,November,4,Wednesday,0,N/A,56,Leaside-Bennington (56),-79.35531535,43.71661681,2015-11-04 00:00:00-0500
homicide,2015,November,10,Tuesday,0,N/A,64,Woodbine Corridor (64),-79.31190314,43.68036996,2015-11-10 00:00:00-0500
homicide,2015,November,10,Tuesday,0,N/A,120,Clairlea-Birchmount (120),-79.27361267,43.71325935,2015-11-10 00:00:00-0500
homicide,2015,November,13,Friday,0,N/A,118,Tam O'Shanter-Sullivan (118),-79.31072707,43.77706418,2015-11-13 00:00:00-0500
homicide,2015,November,13,Friday,0,N/A,74,North St.James Town (74),-79.37377428,43.66728915,2015-11-13 00:00:00-0500
homicide,2015,November,17,Tuesday,0,N/A,1,West Humber-Clairville (1),-79.60383053,43.73115619,2015-11-17 00:00:00-0500
homicide,2015,November,28,Saturday,0,N/A,121,Oakridge (121),-79.28688645,43.69676167,2015-11-28 00:00:00-0500
homicide,2015,November,30,Monday,0,N/A,3,Thistletown-Beaumond Heights (3),-79.58211226,43.74325749,2015-11-30 00:00:00-0500
homicide,2015,December,11,Friday,0,N/A,77,Waterfront Communities-The Island (77),-79.39331907,43.64672612,2015-12-11 00:00:00-0500
homicide,2015,December,11,Friday,0,N/A,53,Henry Farm (53),-79.33990974,43.77605294,2015-12-11 00:00:00-0500
homicide,2015,December,11,Friday,0,N/A,76,Bay Street Corridor (76),-79.3805775,43.64641459,2015-12-11 00:00:00-0500
homicide,2015,December,14,Monday,0,N/A,55,Thorncliffe Park (55),-79.34138354,43.70801163,2015-12-14 00:00:00-0500
