CRIME,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_HOUR,PREMISES_TYPE,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,OCC_DATETIME
robbery,2015,January,1,Thursday,2,Outside,8,Humber Heights-Westmount (8),-79.51956775916,43.6858944093949,2015-01-01 02:00:00
robbery,2015,January,1,Thursday,6,Outside,27,York University Heights (27),-79.5016980818837,43.7682621654028,2015-01-01 06:00:00
robbery,2015,January,1,Thursday,6,Outside,27,York University Heights (27),-79.5016980818837,43.7682621654028,2015-01-01 06:00:00
robbery,2015,January,1,Thursday,6,Outside,27,York University Heights (27),-79.5016980818837,43.7682621654028,2015-01-01 06:00:00
robbery,2015,January,1,Thursday,1,Outside,112,Beechborough-Greenbrook (112),-79.4781486992619,43.6929933150197,2015-01-01 01:00:00
robbery,2015,January,1,Thursday,2,Outside,8,Humber Heights-Westmount (8),-79.51956775916,43.6858944093949,2015-01-01 02:00:00
robbery,2015,January,1,Thursday,6,Outside,111,Rockcliffe-Smythe (111),-79.4786654479934,43.68287910188,2015-01-01 06:00:00
robbery,2015,January,1,Thursday,5,Outside,132,Malvern (132),-79.2257423571347,43.8122135765248,2015-01-01 05:00:00
robbery,2015,January,1,Thursday,4,Outside,132,Malvern (132),-79.2275972011217,43.8162598059822,2015-01-01 04:00:00
robbery,2015,January,1,Thursday,1,Outside,78,Kensington-Chinatown (78),-79.3916198465064,43.6511904335432,2015-01-01 01:00:00
robbery,2015,January,1,Thursday,21,Outside,73,Moss Park (73),-79.3744510627995,43.6601961798157,2015-01-01 21:00:00
robbery,2015,January,2,Friday,23,Outside,138,Eglinton East (138),-79.2371004933881,43.743855925034,2015-01-02 23:00:00
robbery,2015,January,2,Friday,23,Outside,138,Eglinton East (138),-79.2371004933881,43.743855925034,2015-01-02 23:00:00
robbery,2015,January,2,Friday,18,Commercial,105,Lawrence Park North (105),-79.402835307897,43.7274270082057,2015-01-02 18:00:00
robbery,2015,January,2,Friday,18,Commercial,39,Bedford Park-Nortown (39),-79.4179032013774,43.7278948846278,2015-01-02 18:00:00
robbery,2015,January,2,Friday,18,Other,30,Brookhaven-Amesbury (30),-79.5008156270907,43.6974733354289,2015-01-02 18:00:00
robbery,2015,January,3,Saturday,10,Commercial,17,Mimico (includes Humber Bay Shores) (17),-79.4893110334211,43.6137730770683,2015-01-03 10:00:00
robbery,2015,January,3,Saturday,18,Outside,137,Woburn (137),-79.230678232043,43.773493146563,2015-01-03 18:00:00
robbery,2015,January,3,Saturday,20,Outside,115,Mount Dennis (115),-79.4943456077292,43.6857779518258,2015-01-03 20:00:00
robbery,2015,January,3,Saturday,21,Outside,117,L'Amoreaux (117),-79.2996448554383,43.8005114234951,2015-01-03 21:00:00
robbery,2015,January,3,Saturday,20,Commercial,120,Clairlea-Birchmount (120),-79.2942278715053,43.7176453011168,2015-01-03 20:00:00
robbery,2015,January,3,Saturday,22,Apartment,78,Kensington-Chinatown (78),-79.3980463433012,43.6529381285071,2015-01-03 22:00:00
