CRIME,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_HOUR,PREMISES_TYPE,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,OCC_TIMESTAMP
shooting,2015,July,1,Wednesday,4,N/A,107,Oakwood Village (107),-79.4407517159177,43.6973112467238,2015-07-01 04:00:00-0500
shooting,2015,December,31,Thursday,18,N/A,26,Downsview-Roding-CFB (26),-79.4820659578942,43.7266361406988,2015-12-31 18:00:00-0500
shooting,2015,March,23,Monday,2,N/A,14,Islington-City Centre West (14),-79.5640765438649,43.6524496723575,2015-03-23 02:00:00-0500
shooting,2015,July,11,Saturday,12,N/A,22,Humbermede (22),-79.5421282157603,43.7508415742286,2015-07-11 12:00:00-0500
shooting,2015,May,24,Sunday,4,N/A,98,Rosedale-Moore Park (98),-79.3835417578281,43.6937909573357,2015-05-24 04:00:00-0500
shooting,2015,January,11,Sunday,22,N/A,25,Glenfield-Jane Heights (25),-79.5119201268768,43.7345614457696,2015-01-11 22:00:00-0500
shooting,2015,June,21,Sunday,3,N/A,23,Pelmo Park-Humberlea (23),-79.536027071578,43.7334190277357,2015-06-21 03:00:00-0500
shooting,2015,January,5,Monday,12,N/A,111,Rockcliffe-Smythe (111),-79.4821472243718,43.6780774837958,2015-01-05 12:00:00-0500
shooting,2015,September,25,Friday,16,N/A,14,Islington-City Centre West (14),-79.5295496069487,43.6438792714567,2015-09-25 16:00:00-0500
shooting,2015,April,1,Wednesday,20,N/A,25,Glenfield-Jane Heights (25),-79.5183748814673,43.7513561462234,2015-04-01 20:00:00-0500
shooting,2015,June,19,Friday,8,N/A,73,Moss Park (73),-79.369685043235,43.659084858456,2015-06-19 08:00:00-0500
shooting,2015,March,15,Sunday,21,N/A,139,Scarborough Village (139),-79.2205584203195,43.7428288201104,2015-03-15 21:00:00-0500
shooting,2015,January,11,Sunday,23,N/A,11,Eringate-Centennial-West Deane (11),-79.5710708577593,43.6559651885858,2015-01-11 23:00:00-0500
shooting,2015,April,8,Wednesday,21,N/A,25,Glenfield-Jane Heights (25),-79.5170448029943,43.7519037963571,2015-04-08 21:00:00-0500
shooting,2015,April,18,Saturday,0,N/A,137,Woburn (137),-79.2139307607527,43.7622493204888,2015-04-18 00:00:00-0500
shooting,2015,April,16,Thursday,16,N/A,24,Black Creek (24),-79.5196851774208,43.7659026187864,2015-04-16 16:00:00-0500
shooting,2015,July,8,Wednesday,22,N/A,112,Beechborough-Greenbrook (112),-79.4781486992619,43.6929933150197,2015-07-08 22:00:00-0500
shooting,2015,August,29,Saturday,21,N/A,22,Humbermede (22),-79.5467889663969,43.7491176935986,2015-08-29 21:00:00-0500
shooting,2015,April,24,Friday,23,N/A,6,Kingsview Village-The Westway (6),-79.5343876228735,43.7003240238256,2015-04-24 23:00:00-0500
shooting,2015,August,20,Thursday,3,N/A,77,Waterfront Communities-The Island (77),-79.4006330754994,43.6457274824645,2015-08-20 03:00:00-0500
shooting,2015,January,15,Thursday,18,N/A,8,Humber Heights-Westmount (8),-79.5157978720846,43.6925121585674,2015-01-15 18:00:00-0500
shooting,2015,June,10,Wednesday,18,N/A,77,Waterfront Communities-The Island (77),-79.3936363992388,43.6457567323806,2015-06-10 18:00:00-0500
shooting,2015,January,22,Thursday,0,N/A,33,Clanton Park (33),-79.4367197313808,43.7482571795606,2015-01-22 00:00:00-0500
shooting,2015,July,28,Tuesday,18,N/A,117,L'Amoreaux (117),-79.3331285602154,43.7981694006095,2015-07-28 18:00:00-0500
shooting,2015,June,15,Monday,2,N/A,119,Wexford/Maryvale (119),-79.3012938940974,43.7635566723425,2015-06-15 02:00:00-0500
shooting,2015,October,19,Monday,3,N/A,13,Etobicoke West Mall (13),-79.5697199255425,43.6515859696663,2015-10-19 03:00:00-0500
shooting,2015,June,8,Monday,12,N/A,109,Caledonia-Fairbank (109),-79.4531507188918,43.6941207548829,2015-06-08 12:00:00-0500
shooting,2015,January,31,Saturday,0,N/A,22,Humbermede (22),-79.5573980209646,43.7481219528739,2015-01-31 00:00:00-0500
shooting,2015,June,27,Saturday,0,N/A,17,Mimico (includes Humber Bay Shores) (17),-79.4873452465036,43.6172744335711,2015-06-27 00:00:00-0500
shooting,2015,February,15,Sunday,0,N/A,11,Eringate-Centennial-West Deane (11),-79.5710708577593,43.6559651885858,2015-02-15 00:00:00-0500
shooting,2015,November,17,Tuesday,9,N/A,14,Islington-City Centre West (14),-79.5614731891899,43.6476592156224,2015-11-17 09:00:00-0500
shooting,2015,May,2,Saturday,6,N/A,72,Regent Park (72),-79.3637542637939,43.6599191567448,2015-05-02 06:00:00-0500
shooting,2015,February,3,Tuesday,10,N/A,21,Humber Summit (21),-79.5694364823206,43.7566857446201,2015-02-03 10:00:00-0500
shooting,2015,November,22,Sunday,1,N/A,1,West Humber-Clairville (1),-79.5854941577707,43.7212655826878,2015-11-22 01:00:00-0500
shooting,2015,April,15,Wednesday,11,N/A,110,Keelesdale-Eglinton West (110),-79.4726488787815,43.6859491388976,2015-04-15 11:00:00-0500
shooting,2015,December,26,Saturday,0,N/A,23,Pelmo Park-Humberlea (23),-79.5354601085853,43.7118578486963,2015-12-26 00:00:00-0500
shooting,2015,December,15,Tuesday,14,N/A,28,Rustic (28),-79.5047534079117,43.7157347228274,2015-12-15 14:00:00-0500
shooting,2015,May,25,Monday,19,N/A,114,Lambton Baby Point (114),-79.5021892272671,43.6642794898081,2015-05-25 19:00:00-0500
shooting,2015,November,18,Wednesday,2,N/A,58,Old East York (58),-79.3448055076359,43.6933321377015,2015-11-18 02:00:00-0500
shooting,2015,June,23,Tuesday,21,N/A,131,Rouge (131),-79.211171607917,43.8163265933523,2015-06-23 21:00:00-0500
shooting,2015,May,15,Friday,19,N/A,78,Kensington-Chinatown (78),-79.4009153935043,43.6512122630907,2015-05-15 19:00:00-0500
shooting,2015,March,5,Thursday,6,N/A,28,Rustic (28),-79.5003028421864,43.7083769009575,2015-03-05 06:00:00-0500
shooting,2015,November,14,Saturday,22,N/A,44,Flemingdon Park (44),-79.3280818951928,43.715606982792,2015-11-14 22:00:00-0500
shooting,2015,December,13,Sunday,23,N/A,2,Mount Olive-Silverstone-Jamestown (2),-79.5901192464492,43.7374435292579,2015-12-13 23:00:00-0500
shooting,2015,January,8,Thursday,13,N/A,120,Clairlea-Birchmount (120),-79.2872745185364,43.7269310987218,2015-01-08 13:00:00-0500
shooting,2015,April,29,Wednesday,11,N/A,132,Malvern (132),-79.2112059259499,43.8118508205917,2015-04-29 11:00:00-0500
shooting,2015,April,30,Thursday,19,N/A,47,Don Valley Village (47),-79.3424768104663,43.7818353413959,2015-04-30 19:00:00-0500
shooting,2015,June,12,Friday,13,N/A,25,Glenfield-Jane Heights (25),-79.5092992016922,43.7383048438255,2015-06-12 13:00:00-0500
