CRIME,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_HOUR,PREMISES_TYPE,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,OCC_TIMESTAMP
theft_over,2015,January,1,Thursday,1,Outside,27,York University Heights (27),-79.475885472821,43.7553062109353,2015-01-01 01:00:00-0500
theft_over,2015,January,2,Friday,10,Commercial,47,Don Valley Village (47),-79.3437191362443,43.7758285046409,2015-01-02 10:00:00-0500
theft_over,2015,January,3,Saturday,0,House,26,Downsview-Roding-CFB (26),-79.4913629567242,43.7335583211369,2015-01-03 00:00:00-0500
theft_over,2015,January,2,Friday,18,House,52,Bayview Village (52),-79.3734208573492,43.7750889806232,2015-01-02 18:00:00-0500
theft_over,2015,January,4,Sunday,16,Outside,14,Islington-City Centre West (14),-79.5568998425087,43.6101198168381,2015-01-04 16:00:00-0500
theft_over,2015,January,3,Saturday,1,Apartment,77,Waterfront Communities-The Island (77),-79.3919347565858,43.6450794839569,2015-01-03 01:00:00-0500
theft_over,2015,January,4,Sunday,15,Commercial,16,Stonegate-Queensway (16),-79.4903602964998,43.6290439392521,2015-01-04 15:00:00-0500
theft_over,2015,January,6,Tuesday,12,Commercial,19,Long Branch (19),-79.5236938506056,43.5966902919802,2015-01-06 12:00:00-0500
theft_over,2015,January,6,Tuesday,13,Apartment,70,South Riverdale (70),-79.3298286870425,43.6603847900183,2015-01-06 13:00:00-0500
theft_over,2015,January,6,Tuesday,17,Outside,51,Willowdale East (51),-79.3994852505955,43.7635226272461,2015-01-06 17:00:00-0500
theft_over,2015,January,8,Thursday,17,Outside,124,Kennedy Park (124),-79.2688316791391,43.7230971311342,2015-01-08 17:00:00-0500
theft_over,2015,January,7,Wednesday,0,Commercial,6,Kingsview Village-The Westway (6),-79.5521527103772,43.6957901151103,2015-01-07 00:00:00-0500
theft_over,2015,January,12,Monday,13,Commercial,126,Dorset Park (126),-79.2822541006483,43.7694153127368,2015-01-12 13:00:00-0500
theft_over,2015,January,5,Monday,0,House,52,Bayview Village (52),-79.3682868974727,43.7882418878404,2015-01-05 00:00:00-0500
theft_over,2015,January,3,Saturday,4,Commercial,63,The Beaches (63),-79.2889452807422,43.6728283406612,2015-01-03 04:00:00-0500
theft_over,2015,January,14,Wednesday,0,Other,97,Yonge-St.Clair (97),-79.3980332857832,43.6927248578505,2015-01-14 00:00:00-0500
theft_over,2015,January,8,Thursday,13,Commercial,NSA,NSA,-85.4887438847069,0.0,2015-01-08 13:00:00-0500
theft_over,2015,January,13,Tuesday,22,Commercial,45,Parkwoods-Donalda (45),-79.3331655561643,43.7604327097675,2015-01-13 22:00:00-0500
theft_over,2015,January,14,Wednesday,17,Outside,35,Westminster-Branson (35),-79.4471059070292,43.7901818227742,2015-01-14 17:00:00-0500
theft_over,2015,January,13,Tuesday,9,Outside,83,Dufferin Grove (83),-79.431194047091,43.6531645611566,2015-01-13 09:00:00-0500
theft_over,2015,January,16,Friday,16,Apartment,42,Banbury-Don Mills (42),-79.3261053776099,43.7276620321392,2015-01-16 16:00:00-0500
theft_over,2015,January,3,Saturday,13,Commercial,52,Bayview Village (52),-79.3885740205683,43.769049315047,2015-01-03 13:00:00-0500
theft_over,2015,January,12,Monday,20,Other,78,Kensington-Chinatown (78),-79.3899802713172,43.6586950296614,2015-01-12 20:00:00-0500
theft_over,2015,January,19,Monday,21,Commercial,137,Woburn (137),-79.2296315196495,43.760383035722,2015-01-19 21:00:00-0500
theft_over,2015,January,16,Friday,7,Apartment,27,York University Heights (27),-79.4965113379155,43.7668040463991,2015-01-16 07:00:00-0500
theft_over,2015,January,18,Sunday,20,Outside,1,West Humber-Clairville (1),-79.6195257931041,43.7530304891163,2015-01-18 20:00:00-0500
theft_over,2015,January,20,Tuesday,9,Outside,37,Willowdale West (37),-79.4374591044227,43.7704556419609,2015-01-20 09:00:00-0500
theft_over,2015,January,21,Wednesday,12,House,100,Yonge-Eglinton (100),-79.4085124397632,43.7045922590846,2015-01-21 12:00:00-0500
theft_over,2015,January,11,Sunday,21,Outside,78,Kensington-Chinatown (78),-79.3980454256519,43.6550637187826,2015-01-11 21:00:00-0500
theft_over,2015,January,24,Saturday,18,Outside,136,West Hill (136),-79.1890973987325,43.7715657033914,2015-01-24 18:00:00-0500
theft_over,2015,January,23,Friday,20,Commercial,130,Milliken (130),-79.2961310097899,43.8234032009735,2015-01-23 20:00:00-0500
theft_over,2015,January,23,Friday,18,Outside,117,L'Amoreaux (117),-79.3051546313362,43.7971094983391,2015-01-23 18:00:00-0500
theft_over,2015,January,25,Sunday,11,Other,52,Bayview Village (52),-79.3876016174972,43.7648721497837,2015-01-25 11:00:00-0500
theft_over,2015,January,26,Monday,13,Outside,78,Kensington-Chinatown (78),-79.3976394220697,43.6540691104498,2015-01-26 13:00:00-0500
theft_over,2015,January,23,Friday,16,Outside,14,Islington-City Centre West (14),-79.5218469526898,43.6335285087375,2015-01-23 16:00:00-0500
theft_over,2015,January,23,Friday,17,Commercial,43,Victoria Village (43),-79.3103989483323,43.7398074678053,2015-01-23 17:00:00-0500
theft_over,2015,January,16,Friday,1,Outside,78,Kensington-Chinatown (78),-79.3982770748372,43.655657295199,2015-01-16 01:00:00-0500
theft_over,2015,January,24,Saturday,18,Outside,21,Humber Summit (21),-79.540171149488,43.7626663880894,2015-01-24 18:00:00-0500
theft_over,2015,January,29,Thursday,20,Apartment,14,Islington-City Centre West (14),-79.5256302718075,43.6441823921454,2015-01-29 20:00:00-0500
theft_over,2015,January,26,Monday,8,Commercial,48,Hillcrest Village (48),-79.3373542410199,43.8063934303035,2015-01-26 08:00:00-0500
theft_over,2015,February,1,Sunday,16,Commercial,76,Bay Street Corridor (76),-79.3837023902441,43.6612460366714,2015-02-01 16:00:00-0500
theft_over,2015,January,31,Saturday,21,Apartment,63,The Beaches (63),-79.3118148392256,43.6677911549017,2015-01-31 21:00:00-0500
theft_over,2015,February,4,Wednesday,14,Commercial,120,Clairlea-Birchmount (120),-79.2872745185364,43.7269310987218,2015-02-04 14:00:00-0500
theft_over,2015,February,4,Wednesday,9,Apartment,136,West Hill (136),-79.1868624020944,43.7706065515387,2015-02-04 09:00:00-0500
