date,max_temperature,min_temperature,max_relative_humidity,avg_relative_humidity,avg_pressure_sea,max_wind_speed,precipitation,rain,snow,snow_on_ground,daylight,avg_cloud_cover_8,occ_dow,assault_count,auto_theft_count,bicycle_theft_count,break_and_enter_count,homicide_count,robbery_count,shooting_count,theft_from_motor_vehicle_count,theft_over_count
2018-12-31,5.0,-2.5,94,79.5,100.78,21,13.6,13.6,0.0,0.0,8.98,4.5,Monday,38,14,2,20,0,11,0,23,4
2018-12-30,0.7,-6.6,88,78.0,102.03,24,1.2,0.0,1.6,2.0,8.97,5.0,Sunday,43,8,3,22,0,7,0,22,3
2018-12-29,2.7,-7.0,80,68.0,101.86,34,0.0,0.0,0.0,0.0,8.95,4.5,Saturday,37,10,3,26,0,7,0,21,4
2018-12-28,12.4,2.7,95,84.5,100.89,30,1.8,1.8,0.0,0.0,8.93,4.5,Friday,35,13,2,21,0,12,0,31,1
2018-12-27,2.8,-7.4,87,74.0,102.52,30,5.4,5.4,0.0,0.0,8.93,4.0,Thursday,38,7,2,21,0,7,0,30,1
2018-12-26,2.2,-6.0,77,69.5,103.19,27,0.0,0.0,0.0,0.0,8.93,4.0,Wednesday,39,9,1,22,0,10,0,24,1
2018-12-25,0.3,-3.2,82,72.5,102.61,14,0.0,0.0,0.0,0.0,8.92,7.0,Tuesday,49,3,2,25,0,3,1,18,1
2018-12-24,2.0,-4.5,91,79.0,101.96,34,0.0,0.0,0.0,0.0,8.93,6.0,Monday,39,11,6,23,0,8,1,22,2
2018-12-23,0.7,-1.8,92,78.0,101.82,14,0.2,0.0,0.2,0.0,8.92,7.5,Sunday,48,15,3,24,0,6,0,25,3
2018-12-22,-0.2,-2.2,76,70.5,100.73,45,0.0,0.0,0.0,0.0,8.92,8.0,Saturday,39,7,4,29,0,9,0,25,4
2018-12-21,5.2,-1.0,93,85.0,99.48,51,9.6,9.6,0.0,0.0,8.92,7.5,Friday,38,14,1,27,0,8,0,18,2
2018-12-20,5.3,-0.3,89,76.5,100.78,20,6.4,6.4,0.0,0.0,8.92,4.5,Thursday,42,18,7,24,0,7,0,22,3
2018-12-19,5.9,-2.8,83,71.5,101.62,21,0.0,0.0,0.0,0.0,8.92,4.0,Wednesday,36,16,4,19,0,10,2,22,1
2018-12-18,0.2,-6.2,72,62.0,102.19,25,0.0,0.0,0.0,0.0,8.93,4.5,Tuesday,45,10,6,27,0,7,1,17,5
2018-12-17,2.7,-1.0,89,71.5,101.37,38,0.0,0.0,0.0,0.0,8.93,4.0,Monday,46,16,3,19,0,8,0,23,3
2018-12-16,3.9,-0.6,89,81.5,101.64,18,0.0,0.0,0.0,0.0,8.93,6.0,Sunday,43,16,1,24,0,9,0,22,3
2018-12-15,4.0,-0.6,92,82.0,102.29,17,0.0,0.0,0.0,0.0,8.95,4.0,Saturday,41,16,2,25,0,3,0,25,3
2018-12-14,5.4,-1.0,93,91.0,102.24,14,2.6,2.6,0.0,0.0,8.95,4.5,Friday,38,17,5,20,0,11,2,29,4
2018-12-13,2.5,-1.1,92,89.5,102.22,16,0.6,0.0,0.6,2.0,8.97,6.0,Thursday,46,16,1,10,0,11,0,22,2
2018-12-12,1.2,-0.9,84,77.5,101.89,29,1.0,0.0,0.8,0.0,8.98,7.0,Wednesday,45,9,0,26,0,3,1,17,1
2018-12-11,-0.2,-3.4,84,76.5,101.69,21,0.2,0.0,0.2,0.0,9.0,8.0,Tuesday,38,14,8,24,0,5,1,27,4
2018-12-10,1.2,-1.4,79,70.5,102.16,18,0.0,0.0,0.0,0.0,9.02,8.0,Monday,50,6,5,23,0,7,0,25,8
2018-12-09,0.9,-6.7,71,60.5,102.78,34,0.0,0.0,0.0,0.0,9.03,4.0,Sunday,38,6,3,21,0,10,0,20,2
2018-12-08,0.2,-6.7,75,62.0,103.13,34,0.0,0.0,0.0,0.0,9.05,4.5,Saturday,54,28,0,26,0,4,0,25,5
2018-12-07,-3.2,-9.2,79,62.0,102.83,20,0.0,0.0,0.0,0.0,9.07,4.5,Friday,35,11,3,36,0,5,0,29,4
2018-12-06,2.1,-4.1,81,70.5,101.93,32,0.0,0.0,0.0,0.0,9.08,4.5,Thursday,40,14,2,26,1,10,0,20,3
2018-12-05,1.4,-8.3,80,66.0,101.82,19,0.2,0.0,0.2,0.0,9.1,4.0,Wednesday,34,19,3,23,0,8,0,27,5
2018-12-04,0.0,-6.2,76,62.0,101.91,24,0.0,0.0,0.0,0.0,9.12,4.0,Tuesday,49,12,3,27,0,9,0,23,5
2018-12-03,7.3,-1.9,91,81.0,100.63,37,2.0,1.8,1.0,1.0,9.13,6.0,Monday,52,12,2,28,0,7,1,11,3
2018-12-02,10.1,3.2,95,91.5,100.12,27,3.8,3.8,0.0,0.0,9.17,4.5,Sunday,41,13,3,17,0,3,0,18,1
2018-12-01,3.4,-0.7,91,83.5,101.53,34,3.4,2.6,0.8,0.0,9.18,7.5,Saturday,95,14,10,24,0,8,0,23,9
2018-11-30,1.7,-0.1,86,79.5,101.87,12,0.0,0.0,0.0,0.0,9.2,7.5,Friday,46,17,2,14,0,8,0,25,4
2018-11-29,2.0,-0.2,87,78.5,101.58,26,0.0,0.0,0.0,0.0,9.23,7.5,Thursday,34,18,2,19,0,11,0,15,4
2018-11-28,3.4,-1.8,78,71.5,100.79,48,0.0,0.0,0.0,0.0,9.25,7.0,Wednesday,38,25,3,27,0,7,0,24,7
2018-11-27,2.5,-1.7,91,80.0,99.97,41,0.8,0.2,0.6,0.0,9.28,7.5,Tuesday,47,13,9,26,0,7,0,27,4
2018-11-26,5.6,2.0,94,83.0,100.28,32,25.4,25.4,0.0,0.0,9.32,8.0,Monday,48,17,6,25,0,6,0,19,4
2018-11-25,8.1,3.2,95,82.5,100.83,22,0.0,0.0,0.0,0.0,9.35,7.5,Sunday,49,11,5,23,0,9,0,33,3
