,date,policy_rate
0,2023-04-24,4.75
1,2023-04-21,4.75
2,2023-04-20,4.75
3,2023-04-19,4.75
4,2023-04-18,4.75
5,2023-04-17,4.75
6,2023-04-14,4.75
7,2023-04-13,4.75
8,2023-04-12,4.75
9,2023-04-11,4.75
10,2023-04-10,4.75
11,2023-04-07,4.75
12,2023-04-06,4.75
13,2023-04-05,4.75
14,2023-04-04,4.75
15,2023-04-03,4.75
16,2023-03-31,4.75
17,2023-03-30,4.75
18,2023-03-29,4.75
19,2023-03-28,4.75
20,2023-03-27,4.75
21,2023-03-24,4.75
22,2023-03-23,4.75
23,2023-03-22,4.75
24,2023-03-21,4.75
25,2023-03-20,4.75
26,2023-03-17,4.75
27,2023-03-16,4.75
28,2023-03-15,4.75
29,2023-03-14,4.75
30,2023-03-13,4.75
31,2023-03-10,4.75
32,2023-03-09,4.75
33,2023-03-08,4.75
34,2023-03-07,4.75
35,2023-03-06,4.75
36,2023-03-03,4.75
37,2023-03-02,4.75
38,2023-03-01,4.75
39,2023-02-28,4.75
40,2023-02-27,4.75
41,2023-02-24,4.75
42,2023-02-23,4.75
43,2023-02-22,4.75
44,2023-02-21,4.75
45,2023-02-20,4.75
46,2023-02-17,4.75
47,2023-02-16,4.75
48,2023-02-15,4.75
49,2023-02-14,4.75
50,2023-02-13,4.75
51,2023-02-10,4.75
52,2023-02-09,4.75
53,2023-02-08,4.75
54,2023-02-07,4.75
55,2023-02-06,4.75
56,2023-02-03,4.75
57,2023-02-02,4.75
58,2023-02-01,4.75
59,2023-01-31,4.75
60,2023-01-30,4.75
61,2023-01-27,4.75
62,2023-01-26,4.75
63,2023-01-25,4.5
64,2023-01-24,4.5
65,2023-01-23,4.5
66,2023-01-20,4.5
67,2023-01-19,4.5
68,2023-01-18,4.5
69,2023-01-17,4.5
70,2023-01-16,4.5
71,2023-01-13,4.5
72,2023-01-12,4.5
73,2023-01-11,4.5
74,2023-01-10,4.5
75,2023-01-09,4.5
76,2023-01-06,4.5
77,2023-01-05,4.5
78,2023-01-04,4.5
79,2023-01-03,4.5
80,2023-01-02,4.5
81,2022-12-30,4.5
82,2022-12-29,4.5
83,2022-12-28,4.5
84,2022-12-27,4.5
85,2022-12-26,4.5
86,2022-12-23,4.5
87,2022-12-22,4.5
88,2022-12-21,4.5
89,2022-12-20,4.5
90,2022-12-19,4.5
91,2022-12-16,4.5
92,2022-12-15,4.5
93,2022-12-14,4.5
94,2022-12-13,4.5
95,2022-12-12,4.5
96,2022-12-09,4.5
97,2022-12-08,4.5
98,2022-12-07,4.0
99,2022-12-06,4.0
100,2022-12-05,4.0
101,2022-12-02,4.0
102,2022-12-01,4.0
103,2022-11-30,4.0
104,2022-11-29,4.0
105,2022-11-28,4.0
106,2022-11-25,4.0
107,2022-11-24,4.0
108,2022-11-23,4.0
109,2022-11-22,4.0
110,2022-11-21,4.0
111,2022-11-18,4.0
112,2022-11-17,4.0
113,2022-11-16,4.0
114,2022-11-15,4.0
115,2022-11-14,4.0
116,2022-11-11,4.0
117,2022-11-10,4.0
118,2022-11-09,4.0
119,2022-11-08,4.0
120,2022-11-07,4.0
121,2022-11-04,4.0
122,2022-11-03,4.0
123,2022-11-02,4.0
124,2022-11-01,4.0
125,2022-10-31,4.0
126,2022-10-28,4.0
127,2022-10-27,4.0
128,2022-10-26,3.5
129,2022-10-25,3.5
